From	To	Species	Gene Name
210743_PM_S_AT	CDC14A	Homo sapiens	cell division cycle 14A(CDC14A)
204131_PM_S_AT	FOXO3	Homo sapiens	forkhead box O3(FOXO3)
239053_PM_AT	CIAO1	Homo sapiens	cytosolic iron-sulfur assembly component 1(CIAO1)
213937_PM_S_AT	FTSJ1	Homo sapiens	FtsJ RNA methyltransferase homolog 1 (E. coli)(FTSJ1)
221513_PM_S_AT	UTP14A	Homo sapiens	UTP14A small subunit processome component(UTP14A)
1556931_PM_AT	CDC42-IT1	Homo sapiens	CDC42 intronic transcript 1(CDC42-IT1)
225969_PM_AT	ALKBH6	Homo sapiens	alkB homolog 6(ALKBH6)
211537_PM_X_AT	MAP3K7	Homo sapiens	mitogen-activated protein kinase kinase kinase 7(MAP3K7)
235778_PM_S_AT	ANKRD44	Homo sapiens	ankyrin repeat domain 44(ANKRD44)
212074_PM_AT	SUN1	Homo sapiens	Sad1 and UNC84 domain containing 1(SUN1)
232975_PM_AT	HCG18	Homo sapiens	HLA complex group 18 (non-protein coding)(HCG18)
232621_PM_AT	USP48	Homo sapiens	ubiquitin specific peptidase 48(USP48)
215013_PM_S_AT	USP34	Homo sapiens	ubiquitin specific peptidase 34(USP34)
60815_PM_AT	POLR2J4	Homo sapiens	RNA polymerase II subunit J4, pseudogene(POLR2J4)
207624_PM_S_AT	RPGR	Homo sapiens	retinitis pigmentosa GTPase regulator(RPGR)
212621_PM_AT	NEMP1	Homo sapiens	nuclear envelope integral membrane protein 1(NEMP1)
225995_PM_X_AT	WASH1	Homo sapiens	WAS protein family homolog 1(WASH1)
228426_PM_AT	CLEC2D	Homo sapiens	C-type lectin domain family 2 member D(CLEC2D)
1557486_PM_AT	ANKRD44-IT1	Homo sapiens	ANKRD44 intronic transcript 1(ANKRD44-IT1)
224517_PM_AT	POLR2J4	Homo sapiens	RNA polymerase II subunit J4, pseudogene(POLR2J4)
222452_PM_S_AT	GPBP1L1	Homo sapiens	GC-rich promoter binding protein 1 like 1(GPBP1L1)
209811_PM_AT	CASP2	Homo sapiens	caspase 2(CASP2)
210707_PM_X_AT	DTX2P1-UPK3BP1-PMS2P11	Homo sapiens	DTX2P1-UPK3BP1-PMS2P11 readthrough, transcribed pseudogene(DTX2P1-UPK3BP1-PMS2P11)
235153_PM_AT	RNF183	Homo sapiens	ring finger protein 183(RNF183)
214009_PM_AT	MSL3	Homo sapiens	male-specific lethal 3 homolog (Drosophila)(MSL3)
212709_PM_AT	NUP160	Homo sapiens	nucleoporin 160(NUP160)
36553_PM_AT	ASMTL	Homo sapiens	acetylserotonin O-methyltransferase-like(ASMTL)
207759_PM_S_AT	TSNAX-DISC1	Homo sapiens	TSNAX-DISC1 readthrough (NMD candidate)(TSNAX-DISC1)
214552_PM_S_AT	RABEP1	Homo sapiens	rabaptin, RAB GTPase binding effector protein 1(RABEP1)
240246_PM_AT	FRG1JP	Homo sapiens	FSHD region gene 1 family member J, pseudogene(FRG1JP)
206205_PM_AT	MPHOSPH9	Homo sapiens	M-phase phosphoprotein 9(MPHOSPH9)
235067_PM_AT	MKLN1	Homo sapiens	muskelin 1(MKLN1)
1570255_PM_S_AT	ANKRD20A12P	Homo sapiens	ankyrin repeat domain 20 family member A12, pseudogene(ANKRD20A12P)
1552455_PM_AT	PRUNE2	Homo sapiens	prune homolog 2(PRUNE2)
232902_PM_S_AT	RARS2	Homo sapiens	arginyl-tRNA synthetase 2, mitochondrial(RARS2)
205887_PM_X_AT	MSH3	Homo sapiens	mutS homolog 3(MSH3)
224435_PM_AT	FAM213A	Homo sapiens	family with sequence similarity 213 member A(FAM213A)
231801_PM_AT	NFATC2	Homo sapiens	nuclear factor of activated T-cells 2(NFATC2)
235231_PM_AT	ZNF789	Homo sapiens	zinc finger protein 789(ZNF789)
219279_PM_AT	dock10	Homo sapiens	dedicator of cytokinesis 10(DOCK10)
215470_PM_AT	GTF2H2B	Homo sapiens	general transcription factor IIH subunit 2B (pseudogene)(GTF2H2B)
212584_PM_AT	AQR	Homo sapiens	aquarius intron-binding spliceosomal factor(AQR)
209060_PM_X_AT	NCOA3	Homo sapiens	nuclear receptor coactivator 3(NCOA3)
224852_PM_AT	TTC17	Homo sapiens	tetratricopeptide repeat domain 17(TTC17)
201321_PM_S_AT	SMARCC2	Homo sapiens	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2(SMARCC2)
204403_PM_X_AT	TCAF1	Homo sapiens	TRPM8 channel associated factor 1(TCAF1)
213470_PM_S_AT	HNRNPH1	Homo sapiens	heterogeneous nuclear ribonucleoprotein H1 (H)(HNRNPH1)
221825_PM_AT	ANGEL2	Homo sapiens	angel homolog 2(ANGEL2)
1565269_PM_S_AT	ATF1	Homo sapiens	activating transcription factor 1(ATF1)
1555122_PM_AT	adgra3	Homo sapiens	adhesion G protein-coupled receptor A3(ADGRA3)
223492_PM_S_AT	LRRFIP1	Homo sapiens	LRR binding FLII interacting protein 1(LRRFIP1)
216684_PM_S_AT	SS18	Homo sapiens	SS18, nBAF chromatin remodeling complex subunit(SS18)
229912_PM_AT	SDK1	Homo sapiens	sidekick cell adhesion molecule 1(SDK1)
208633_PM_S_AT	MACF1	Homo sapiens	microtubule-actin crosslinking factor 1(MACF1)
239943_PM_X_AT	PIGL	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class L(PIGL)
64432_PM_AT	MAPKAPK5-AS1	Homo sapiens	MAPKAPK5 antisense RNA 1(MAPKAPK5-AS1)
228602_PM_AT	SGCD	Homo sapiens	sarcoglycan delta(SGCD)
219363_PM_S_AT	MTERF3	Homo sapiens	mitochondrial transcription termination factor 3(MTERF3)
1553186_PM_X_AT	RASEF	Homo sapiens	RAS and EF-hand domain containing(RASEF)
1554678_PM_S_AT	HNRNPDL	Homo sapiens	heterogeneous nuclear ribonucleoprotein D like(HNRNPDL)
209953_PM_S_AT	CDC37	Homo sapiens	cell division cycle 37(CDC37)
207563_PM_S_AT	OGT	Homo sapiens	O-linked N-acetylglucosamine (GlcNAc) transferase(OGT)
222548_PM_S_AT	map4k4	Homo sapiens	mitogen-activated protein kinase kinase kinase kinase 4(MAP4K4)
211519_PM_S_AT	KIF2C	Homo sapiens	kinesin family member 2C(KIF2C)
1558678_PM_S_AT	MALAT1	Homo sapiens	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)(MALAT1)
1557100_PM_S_AT	hectd1	Homo sapiens	HECT domain E3 ubiquitin protein ligase 1(HECTD1)
202880_PM_S_AT	CYTH1	Homo sapiens	cytohesin 1(CYTH1)
232309_PM_AT	LOC202181	Homo sapiens	SUMO interacting motifs containing 1 pseudogene(LOC202181)
217373_PM_X_AT	MDM2	Homo sapiens	MDM2 proto-oncogene(MDM2)
230621_PM_AT	IAH1	Homo sapiens	isoamyl acetate-hydrolyzing esterase 1 homolog(IAH1)
224705_PM_S_AT	TNRC6A	Homo sapiens	trinucleotide repeat containing 6A(TNRC6A)
207175_PM_AT	ADIPOQ	Homo sapiens	adiponectin, C1Q and collagen domain containing(ADIPOQ)
221782_PM_AT	DNAJC10	Homo sapiens	DnaJ heat shock protein family (Hsp40) member C10(DNAJC10)
219925_PM_AT	ZMYM6	Homo sapiens	zinc finger MYM-type containing 6(ZMYM6)
223569_PM_AT	PLPP5	Homo sapiens	phospholipid phosphatase 5(PLPP5)
223040_PM_AT	NAA20	Homo sapiens	N(alpha)-acetyltransferase 20, NatB catalytic subunit(NAA20)
218425_PM_AT	RNF216	Homo sapiens	ring finger protein 216(RNF216)
223324_PM_S_AT	TRPM7	Homo sapiens	transient receptor potential cation channel subfamily M member 7(TRPM7)
213149_PM_AT	DLAT	Homo sapiens	dihydrolipoamide S-acetyltransferase(DLAT)
222770_PM_S_AT	GUF1	Homo sapiens	GUF1 homolog, GTPase(GUF1)
233543_PM_S_AT	FAM175A	Homo sapiens	family with sequence similarity 175 member A(FAM175A)
37152_PM_AT	PPARD	Homo sapiens	peroxisome proliferator activated receptor delta(PPARD)
221427_PM_S_AT	CCNL2	Homo sapiens	cyclin L2(CCNL2)
231715_PM_S_AT	MIR6741	Homo sapiens	microRNA 6741(MIR6741)
211424_PM_X_AT	METTL7A	Homo sapiens	methyltransferase like 7A(METTL7A)
231913_PM_S_AT	BRCC3	Homo sapiens	BRCA1/BRCA2-containing complex subunit 3(BRCC3)
220219_PM_S_AT	LRRC37A3	Homo sapiens	leucine rich repeat containing 37 member A3(LRRC37A3)
1557293_PM_AT	LINC00969	Homo sapiens	long intergenic non-protein coding RNA 969(LINC00969)
214753_PM_AT	N4BP2L2	Homo sapiens	NEDD4 binding protein 2 like 2(N4BP2L2)
213670_PM_X_AT	NSUN5P1	Homo sapiens	NOP2/Sun RNA methyltransferase family member 5 pseudogene 1(NSUN5P1)
222502_PM_S_AT	UFM1	Homo sapiens	ubiquitin fold modifier 1(UFM1)
229787_PM_S_AT	OGT	Homo sapiens	O-linked N-acetylglucosamine (GlcNAc) transferase(OGT)
221311_PM_X_AT	LYRM2	Homo sapiens	LYR motif containing 2(LYRM2)
219324_PM_AT	NOL12	Homo sapiens	nucleolar protein 12(NOL12)
231770_PM_X_AT	WDPCP	Homo sapiens	WD repeat containing planar cell polarity effector(WDPCP)
220081_PM_X_AT	HSD17B7	Homo sapiens	hydroxysteroid 17-beta dehydrogenase 7(HSD17B7)
215720_PM_S_AT	NFYA	Homo sapiens	nuclear transcription factor Y subunit alpha(NFYA)
241252_PM_AT	ESCO2	Homo sapiens	establishment of sister chromatid cohesion N-acetyltransferase 2(ESCO2)
215222_PM_X_AT	MACF1	Homo sapiens	microtubule-actin crosslinking factor 1(MACF1)
220220_PM_AT	LRRC37A2	Homo sapiens	leucine rich repeat containing 37 member A2(LRRC37A2)
211536_PM_X_AT	MAP3K7	Homo sapiens	mitogen-activated protein kinase kinase kinase 7(MAP3K7)
235698_PM_AT	ZFP90	Homo sapiens	ZFP90 zinc finger protein(ZFP90)
235927_PM_AT	XPO1	Homo sapiens	exportin 1(XPO1)
220609_PM_AT	LOC202181	Homo sapiens	SUMO interacting motifs containing 1 pseudogene(LOC202181)
1567032_PM_S_AT	ZNF160	Homo sapiens	zinc finger protein 160(ZNF160)
242561_PM_AT	IPO9	Homo sapiens	importin 9(IPO9)
202532_PM_S_AT	DHFR	Homo sapiens	dihydrofolate reductase(DHFR)
223590_PM_AT	ZNF700	Homo sapiens	zinc finger protein 700(ZNF700)
219317_PM_AT	POLI	Homo sapiens	DNA polymerase iota(POLI)
40472_PM_AT	LPCAT4	Homo sapiens	lysophosphatidylcholine acyltransferase 4(LPCAT4)
216386_PM_AT	LOC220077	Homo sapiens	dedicator of cytokinesis 1 pseudogene(LOC220077)
201273_PM_S_AT	SRP9	Homo sapiens	signal recognition particle 9(SRP9)
224820_PM_AT	cox20	Homo sapiens	COX20, cytochrome c oxidase assembly factor(COX20)
205584_PM_AT	ALG13	Homo sapiens	ALG13, UDP-N-acetylglucosaminyltransferase subunit(ALG13)
209382_PM_AT	POLR3C	Homo sapiens	RNA polymerase III subunit C(POLR3C)
229141_PM_AT	WDR33	Homo sapiens	WD repeat domain 33(WDR33)
1552879_PM_A_AT	ATOH7	Homo sapiens	atonal bHLH transcription factor 7(ATOH7)
214487_PM_S_AT	RAP2A	Homo sapiens	RAP2A, member of RAS oncogene family(RAP2A)
240528_PM_S_AT	EXOC4	Homo sapiens	exocyst complex component 4(EXOC4)
232022_PM_AT	TFB1M	Homo sapiens	transcription factor B1, mitochondrial(TFB1M)
202304_PM_AT	FNDC3A	Homo sapiens	fibronectin type III domain containing 3A(FNDC3A)
204143_PM_S_AT	ENOSF1	Homo sapiens	enolase superfamily member 1(ENOSF1)
212669_PM_AT	CAMK2G	Homo sapiens	calcium/calmodulin dependent protein kinase II gamma(CAMK2G)
236381_PM_S_AT	WRAP73	Homo sapiens	WD repeat containing, antisense to TP73(WRAP73)
229123_PM_AT	ZNF224	Homo sapiens	zinc finger protein 224(ZNF224)
235124_PM_AT	EIF3J-AS1	Homo sapiens	EIF3J antisense RNA 1 (head to head)(EIF3J-AS1)
233019_PM_AT	CNOT7	Homo sapiens	CCR4-NOT transcription complex subunit 7(CNOT7)
241774_PM_AT	PSMA3-AS1	Homo sapiens	PSMA3 antisense RNA 1(PSMA3-AS1)
213799_PM_S_AT	PTPRA	Homo sapiens	protein tyrosine phosphatase, receptor type A(PTPRA)
34031_PM_I_AT	KRIT1	Homo sapiens	KRIT1, ankyrin repeat containing(KRIT1)
1554767_PM_S_AT	CRYZL1	Homo sapiens	crystallin zeta like 1(CRYZL1)
223099_PM_S_AT	LOC100507577	Homo sapiens	uncharacterized LOC100507577(LOC100507577)
207115_PM_X_AT	MBTD1	Homo sapiens	mbt domain containing 1(MBTD1)
210829_PM_S_AT	SSBP2	Homo sapiens	single stranded DNA binding protein 2(SSBP2)
212452_PM_X_AT	KAT6B	Homo sapiens	lysine acetyltransferase 6B(KAT6B)
213703_PM_AT	LINC00342	Homo sapiens	long intergenic non-protein coding RNA 342(LINC00342)
229980_PM_S_AT	SNX5	Homo sapiens	sorting nexin 5(SNX5)
210061_PM_AT	ZNF589	Homo sapiens	zinc finger protein 589(ZNF589)
235084_PM_X_AT	TRIM38	Homo sapiens	tripartite motif containing 38(TRIM38)
238147_PM_AT	TRIM46	Homo sapiens	tripartite motif containing 46(TRIM46)
213671_PM_S_AT	MIR6758	Homo sapiens	microRNA 6758(MIR6758)
218054_PM_S_AT	KXD1	Homo sapiens	KxDL motif containing 1(KXD1)
233399_PM_X_AT	ZNF252P	Homo sapiens	zinc finger protein 252, pseudogene(ZNF252P)
218538_PM_S_AT	MRS2	Homo sapiens	MRS2, magnesium transporter(MRS2)
1569714_PM_AT	RBSN	Homo sapiens	rabenosyn, RAB effector(RBSN)
234923_PM_AT	RALGAPA1	Homo sapiens	Ral GTPase activating protein catalytic alpha subunit 1(RALGAPA1)
204355_PM_AT	DHX30	Homo sapiens	DExH-box helicase 30(DHX30)
210336_PM_X_AT	MZF1	Homo sapiens	myeloid zinc finger 1(MZF1)
215329_PM_S_AT	CDK11A	Homo sapiens	cyclin dependent kinase 11A(CDK11A)
